state,u,v,zone_u,zone_v,active,delay_ms,bandwidth_mbps,loss_rate,qos_weight_delay_plus_1000_over_bw
BW_CONGESTION,15,14,IT,IT,True,28.394104,200.000000,0.002870,33.394104
BW_CONGESTION,15,13,IT,HR,True,31.774960,150.000000,0.003210,38.441627
BW_CONGESTION,15,11,IT,HR,True,24.375279,50.000000,0.001589,44.375279
BW_CONGESTION,16,15,IT,IT,True,6.078624,200.000000,0.002240,11.078624
BW_CONGESTION,16,13,IT,HR,True,12.510464,100.000000,0.004282,22.510464
BW_CONGESTION,17,16,IT,IT,True,13.187882,150.000000,0.000386,19.854549
BW_CONGESTION,17,18,IT,IT,True,14.848436,500.000000,0.003343,16.848436
BW_CONGESTION,17,13,IT,HR,True,24.496125,100.000000,0.003941,34.496125
BW_CONGESTION,18,0,IT,Core,True,28.250974,150.000000,0.004089,34.917641
TRUST_DEGRADED,0,8,Core,FIN,True,32.088462,200.000000,0.004307,37.088462
TRUST_DEGRADED,0,6,Core,DMZ,True,29.407881,150.000000,0.000561,36.074548
TRUST_DEGRADED,0,7,Core,FIN,True,39.146782,300.000000,0.003952,42.480116
TRUST_DEGRADED,1,0,Core,Core,True,9.483977,300.000000,0.002307,12.817310
TRUST_DEGRADED,1,4,Core,Core,True,17.977931,100.000000,0.003255,27.977931
TRUST_DEGRADED,2,1,Core,Core,True,33.796656,500.000000,0.002273,35.796656
TRUST_DEGRADED,2,0,Core,Core,True,12.953355,50.000000,0.000413,32.953355
TRUST_DEGRADED,3,0,Core,Core,True,33.967091,200.000000,0.003195,38.967091
TRUST_DEGRADED,4,3,Core,Core,True,31.533071,300.000000,0.004856,34.866404
TRUST_DEGRADED,5,2,DMZ,Core,True,36.259239,150.000000,0.003914,42.925906
TRUST_DEGRADED,5,4,DMZ,Core,True,11.812355,150.000000,0.000315,18.479021
TRUST_DEGRADED,6,5,DMZ,DMZ,True,10.400132,150.000000,0.003447,17.066799
TRUST_DEGRADED,7,5,FIN,DMZ,True,31.066675,150.000000,0.001697,37.733342
TRUST_DEGRADED,8,6,FIN,DMZ,True,17.966090,500.000000,0.002401,19.966090
TRUST_DEGRADED,10,9,HR,HR,True,11.631498,150.000000,0.002431,18.298164
TRUST_DEGRADED,11,10,HR,HR,True,12.941827,50.000000,0.003382,32.941827
TRUST_DEGRADED,11,9,HR,HR,True,20.300317,50.000000,0.003531,40.300317
TRUST_DEGRADED,12,11,HR,HR,True,15.932832,300.000000,0.004178,19.266166
TRUST_DEGRADED,12,0,HR,Core,True,33.166753,500.000000,0.001513,35.166753
TRUST_DEGRADED,13,12,HR,HR,True,28.887343,150.000000,0.000785,35.554009
TRUST_DEGRADED,13,18,HR,IT,True,11.996787,300.000000,0.003956,15.330120
TRUST_DEGRADED,14,11,IT,HR,True,28.269780,50.000000,0.003555,48.269780
TRUST_DEGRADED,14,12,IT,HR,True,32.325516,200.000000,0.002887,37.325516
TRUST_DEGRADED,14,8,IT,FIN,True,9.892895,150.000000,0.000661,16.559562
TRUST_DEGRADED,15,14,IT,IT,True,28.394104,200.000000,0.002870,33.394104
TRUST_DEGRADED,15,13,IT,HR,True,31.774960,150.000000,0.003210,38.441627
TRUST_DEGRADED,15,11,IT,HR,True,24.375279,50.000000,0.001589,44.375279
TRUST_DEGRADED,16,15,IT,IT,True,6.078624,200.000000,0.002240,11.078624
TRUST_DEGRADED,16,13,IT,HR,True,12.510464,100.000000,0.004282,22.510464
TRUST_DEGRADED,17,16,IT,IT,True,13.187882,150.000000,0.000386,19.854549
TRUST_DEGRADED,17,18,IT,IT,True,14.848436,500.000000,0.003343,16.848436
TRUST_DEGRADED,17,13,IT,HR,True,24.496125,100.000000,0.003941,34.496125
TRUST_DEGRADED,18,0,IT,Core,True,28.250974,150.000000,0.004089,34.917641
DELAY_SPIKE,0,8,Core,FIN,True,32.088462,200.000000,0.004307,37.088462
DELAY_SPIKE,0,6,Core,DMZ,True,29.407881,150.000000,0.000561,36.074548
DELAY_SPIKE,0,7,Core,FIN,True,39.146782,300.000000,0.003952,42.480116
DELAY_SPIKE,1,0,Core,Core,True,9.483977,300.000000,0.002307,12.817310
DELAY_SPIKE,1,4,Core,Core,True,17.977931,100.000000,0.003255,27.977931
DELAY_SPIKE,2,1,Core,Core,True,33.796656,500.000000,0.002273,35.796656
DELAY_SPIKE,2,0,Core,Core,True,12.953355,50.000000,0.000413,32.953355
DELAY_SPIKE,3,0,Core,Core,True,33.967091,200.000000,0.003195,38.967091
DELAY_SPIKE,4,3,Core,Core,True,31.533071,300.000000,0.004856,34.866404
DELAY_SPIKE,5,2,DMZ,Core,True,36.259239,150.000000,0.003914,42.925906
DELAY_SPIKE,5,4,DMZ,Core,True,11.812355,150.000000,0.000315,18.479021
DELAY_SPIKE,6,5,DMZ,DMZ,True,10.400132,150.000000,0.003447,17.066799
DELAY_SPIKE,7,5,FIN,DMZ,True,31.066675,150.000000,0.001697,37.733342
DELAY_SPIKE,8,6,FIN,DMZ,True,17.966090,500.000000,0.002401,19.966090
DELAY_SPIKE,10,9,HR,HR,True,11.631498,150.000000,0.002431,18.298164
DELAY_SPIKE,11,10,HR,HR,True,12.941827,50.000000,0.003382,32.941827
DELAY_SPIKE,11,9,HR,HR,True,20.300317,50.000000,0.003531,40.300317
DELAY_SPIKE,12,11,HR,HR,True,15.932832,300.000000,0.004178,19.266166
DELAY_SPIKE,12,0,HR,Core,True,33.166753,500.000000,0.001513,35.166753
DELAY_SPIKE,13,12,HR,HR,True,28.887343,150.000000,0.000785,35.554009
DELAY_SPIKE,13,18,HR,IT,True,11.996787,300.000000,0.003956,15.330120
DELAY_SPIKE,14,11,IT,HR,True,28.269780,50.000000,0.003555,48.269780
DELAY_SPIKE,14,12,IT,HR,True,200.000000,200.000000,0.002887,205.000000
DELAY_SPIKE,14,8,IT,FIN,True,9.892895,150.000000,0.000661,16.559562
DELAY_SPIKE,15,14,IT,IT,True,28.394104,200.000000,0.002870,33.394104
DELAY_SPIKE,15,13,IT,HR,True,31.774960,150.000000,0.003210,38.441627
DELAY_SPIKE,15,11,IT,HR,True,24.375279,50.000000,0.001589,44.375279
DELAY_SPIKE,16,15,IT,IT,True,6.078624,200.000000,0.002240,11.078624
DELAY_SPIKE,16,13,IT,HR,True,12.510464,100.000000,0.004282,22.510464
DELAY_SPIKE,17,16,IT,IT,True,13.187882,150.000000,0.000386,19.854549
DELAY_SPIKE,17,18,IT,IT,True,14.848436,500.000000,0.003343,16.848436
DELAY_SPIKE,17,13,IT,HR,True,24.496125,100.000000,0.003941,34.496125
DELAY_SPIKE,18,0,IT,Core,True,28.250974,150.000000,0.004089,34.917641
STRUCTURE_MITIGATED,0,8,Core,FIN,True,32.088462,200.000000,0.004307,37.088462
STRUCTURE_MITIGATED,0,6,Core,DMZ,True,29.407881,150.000000,0.000561,36.074548
STRUCTURE_MITIGATED,0,7,Core,FIN,True,39.146782,300.000000,0.003952,42.480116
STRUCTURE_MITIGATED,1,0,Core,Core,True,9.483977,300.000000,0.002307,12.817310
STRUCTURE_MITIGATED,1,4,Core,Core,True,17.977931,100.000000,0.003255,27.977931
STRUCTURE_MITIGATED,2,1,Core,Core,True,33.796656,500.000000,0.002273,35.796656
STRUCTURE_MITIGATED,2,0,Core,Core,True,12.953355,50.000000,0.000413,32.953355
STRUCTURE_MITIGATED,3,0,Core,Core,True,33.967091,200.000000,0.003195,38.967091
STRUCTURE_MITIGATED,4,3,Core,Core,True,31.533071,300.000000,0.004856,34.866404
STRUCTURE_MITIGATED,5,2,DMZ,Core,True,36.259239,150.000000,0.003914,42.925906
STRUCTURE_MITIGATED,5,4,DMZ,Core,True,11.812355,150.000000,0.000315,18.479021
STRUCTURE_MITIGATED,6,5,DMZ,DMZ,True,10.400132,150.000000,0.003447,17.066799
STRUCTURE_MITIGATED,7,5,FIN,DMZ,True,31.066675,150.000000,0.001697,37.733342
STRUCTURE_MITIGATED,8,6,FIN,DMZ,True,17.966090,500.000000,0.002401,19.966090
STRUCTURE_MITIGATED,10,9,HR,HR,True,11.631498,150.000000,0.002431,18.298164
STRUCTURE_MITIGATED,11,10,HR,HR,True,12.941827,50.000000,0.003382,32.941827
STRUCTURE_MITIGATED,11,9,HR,HR,True,20.300317,50.000000,0.003531,40.300317
STRUCTURE_MITIGATED,12,11,HR,HR,True,15.932832,300.000000,0.004178,19.266166
STRUCTURE_MITIGATED,12,0,HR,Core,True,33.166753,500.000000,0.001513,35.166753
STRUCTURE_MITIGATED,13,12,HR,HR,True,28.887343,150.000000,0.000785,35.554009
STRUCTURE_MITIGATED,13,18,HR,IT,True,11.996787,300.000000,0.003956,15.330120
STRUCTURE_MITIGATED,14,11,IT,HR,True,28.269780,50.000000,0.003555,48.269780
STRUCTURE_MITIGATED,14,12,IT,HR,False,32.325516,0.000000,0.002887,inf
STRUCTURE_MITIGATED,14,8,IT,FIN,True,9.892895,150.000000,0.000661,16.559562
STRUCTURE_MITIGATED,15,14,IT,IT,True,28.394104,200.000000,0.002870,33.394104
STRUCTURE_MITIGATED,15,13,IT,HR,True,31.774960,150.000000,0.003210,38.441627
STRUCTURE_MITIGATED,15,11,IT,HR,True,24.375279,50.000000,0.001589,44.375279
STRUCTURE_MITIGATED,16,15,IT,IT,True,6.078624,200.000000,0.002240,11.078624
STRUCTURE_MITIGATED,16,13,IT,HR,True,12.510464,100.000000,0.004282,22.510464
STRUCTURE_MITIGATED,17,16,IT,IT,True,13.187882,150.000000,0.000386,19.854549
STRUCTURE_MITIGATED,17,18,IT,IT,True,14.848436,500.000000,0.003343,16.848436
STRUCTURE_MITIGATED,17,13,IT,HR,True,24.496125,100.000000,0.003941,34.496125
STRUCTURE_MITIGATED,18,0,IT,Core,True,28.250974,150.000000,0.004089,34.917641
